date,venue,location,setlist,gaps,artist,artistid,cancelled
1983-10-30,Harris-Millis Cafeteria - University of Vermont,"Burlington, VT",,,Phish,1,1
1983-12-02,Harris-Millis Cafeteria - University of Vermont,"Burlington, VT",Long Cool Woman in a Black Dress | Proud Mary | In the Midnight Hour | Squeeze Box | Roadhouse Blues | Happy Birthday to You | Scarlet Begonias | Fire on the Mountain,-1 | -1 | -1 | -1 | -1 | -1 | -1 | -1,Phish,1,0
1983-12-03,"Marsh / Austin / Tupper Dormitory, University of Vermont","Burlington, VT",,,Phish,1,0
1984-10-23,69 Grant Street,"Burlington, VT",Makisupa Policeman,-1,Phish,1,0
1984-11-03,"Slade Hall, University of Vermont","Burlington, VT",In the Midnight Hour | Wild Child | Jam | Bertha | Can't You Hear Me Knocking | St. Stephen | Can't You Hear Me Knocking | Camel Walk | Eyes of the World | Whipping Post | Drums,2 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1,Phish,1,0
1984-12-01,Nectar's,"Burlington, VT",Jam | Wild Child | Bertha | Can't You Hear Me Knocking | Camel Walk | Jam | In the Midnight Hour | Scarlet Begonias | Fire | Fire on the Mountain | Makisupa Policeman | Slave to the Traffic Light | Spanish Flea | Don't Want You No More | Cities | Drums | Skippy the Wondermouse | Fluffhead | Eyes of the World,0 | 0 | 0 | 0 | 0 | 0 | 0 | 3 | -1 | 3 | 1 | -1 | -1 | -1 | -1 | 0 | -1 | -1 | 0,Phish,1,0
1985-02-01,Doolin's,"Burlington, VT",,,Phish,1,1
1985-02-15,Doolin's,"Burlington, VT",,,Phish,1,0
1985-02-22,Doolin's,"Burlington, VT",,,Phish,1,0
1985-03-02,Hunt's,"Burlington, VT",,,Phish,1,1
1985-03-04,Hunt's,"Burlington, VT",Anarchy | Camel Walk | Fire Up the Ganja | Skippy the Wondermouse | In the Midnight Hour,-1 | 4 | -1 | 4 | 4,Phish,1,0
1985-03-08,Doolin's,"Burlington, VT",Sneakin' Sally Thru the Alley,-1,Phish,1,0
1985-03-16,Doolin's,"Burlington, VT",Alumni Blues | Skippy the Wondermouse | Bertha | Jam | Mike's Song,-1 | 1 | 6 | 6 | -1,Phish,1,0
1985-03-29,Doolin's,"Burlington, VT",,,Phish,1,0
1985-04-06,Finbar's,"Burlington, VT",I Am Hydrogen | Don't Want You No More | Cities | Wild Child | Slave to the Traffic Light | Jam | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Mike's Song | Dave's Energy Guide | Big Leg Emma | Revolution | Anarchy | I Wish | Camel Walk | Run Like an Antelope | McGrupp and the Watchful Hosemasters | Makisupa Policeman | Quinn the Eskimo (The Mighty Quinn),-1 | 8 | 8 | 8 | 8 | 1 | 1 | -1 | 1 | 1 | -1 | -1 | -1 | 3 | -1 | 3 | -1 | -1 | 8 | -1,Phish,1,0
1985-04-19,Hunt's,"Burlington, VT",,,Phish,1,0
1985-04-21,Goddard College,"Plainfield, VT",,,Phish,1,0
1985-05-03,University of Vermont,"Burlington, VT",Slave to the Traffic Light | Mike's Song | Dave's Energy Guide | Big Leg Emma | Alumni Blues | Wild Child | Can't You Hear Me Knocking | Jam | Cities | Bring It On Home | Scarlet Begonias | Eyes of the World | Whipping Post | McGrupp and the Watchful Hosemasters | Makisupa Policeman | Run Like an Antelope | The Other One | Anarchy,2 | 2 | 2 | 2 | 2 | 2 | 11 | 2 | 2 | -1 | 11 | 11 | 12 | 2 | 2 | 2 | -1 | 2,Phish,1,0
1985-05-07,Finbar's,"Burlington, VT",,,Phish,1,0
1985-05-31,"Slade Hall, University of Vermont","Burlington, VT",Big Leg Emma,1,Phish,1,0
1985-09-26,WRUV Radio,"Burlington, VT",Dog Log | Prep School Hippie | Camel Walk | Alumni Blues | Run Like an Antelope | Dave's Energy Guide | McGrupp and the Watchful Hosemasters,-1 | -1 | 5 | 2 | 2 | 2 | 2,Phish,1,1
1985-09-27,"Slade Hall, University of Vermont","Burlington, VT",Low Rider | Big Leg Emma | Wild Child | Back Porch Boogie Blues | Camel Walk | Possum | Fire | Slave to the Traffic Light | In the Midnight Hour | Melt the Guns | T.V. Theme | Sneakin' Sally Thru the Alley | Prep School Hippie | Mike's Song | Dave's Energy Guide | McGrupp and the Watchful Hosemasters | Cities | Anarchy | Revolution | Anarchy | Revolution | Makisupa Policeman,-1 | 1 | 3 | -1 | 0 | -1 | 15 | 3 | 10 | -1 | -1 | 9 | 0 | 3 | 0 | 0 | 3 | 3 | 6 | 3 | 6 | 3,Phish,1,0
1985-10-17,Finbar's,"Burlington, VT",T.V. Theme | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Mike's Song | Dave's Energy Guide | Revolution | Anarchy | Camel Walk | Run Like an Antelope | McGrupp and the Watchful Hosemasters,0 | 1 | 7 | 1 | 0 | 0 | 0 | 0 | 0 | 1 | 0,Phish,1,0
1985-10-20,"Slade Hall, University of Vermont","Burlington, VT",,,Phish,1,0
1985-10-26,Goddard College,"Plainfield, VT",,,Phish,1,1
1985-10-30,Hunt's,"Burlington, VT",Harry Hood | Dog Log | Possum | Slave to the Traffic Light | Sneakin' Sally Thru the Alley | I Wish | Revival | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Prep School Hippie | Skippy the Wondermouse,-1 | 4 | 3 | 3 | 3 | 10 | -1 | 2 | 2 | 2 | 3 | 12,Phish,1,0
1985-11-02,"Slade Hall, University of Vermont","Burlington, VT",,,Phish,1,0
1985-11-14,Memorial Auditorium Basement,"Burlington, VT",Slave to the Traffic Light | Hurricane | Makisupa Policeman | Piggies | Makisupa Policeman | Drums | Alumni Blues | Dear Mrs. Reagan,1 | -1 | 5 | -1 | 5 | 21 | 1 | -1,Phish,1,0
1985-11-23,Goddard College,"Plainfield, VT",Wild Thing | Mike's Song | Whipping Post | Run Like an Antelope | Dave's Energy Guide,-1 | 5 | 10 | 5 | 5,Phish,1,0
1985-12-13,The Little Red House,"Burlington, VT",Jam,11,Phish,1,0
1986-02-03,Hunt's,"Burlington, VT",Slave to the Traffic Light | Mike's Song | Dave's Energy Guide | You Enjoy Myself | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Prep School Hippie | Run Like an Antelope | Exiled Shadows | The Pendulum | Babylon is Burning | Soweto Revisted,2 | 1 | 1 | -1 | 2 | 4 | 2 | 4 | 1 | -1 | -1 | -1 | -1,Phish,1,0
1986-02-21,Memorial Auditorium,"Burlington, VT",,,Phish,1,0
1986-02-28,"Slade Hall, University of Vermont","Burlington, VT",,,Phish,1,0
1986-03-02,Hunt's,"Burlington, VT",,,Phish,1,0
1986-04-01,Hunt's,"Burlington, VT",Quinn the Eskimo (The Mighty Quinn) | Have Mercy | Harry Hood | The Pendulum | Dave's Energy Guide | Icculus | You Enjoy Myself | Help on the Way | Slipknot! | AC/DC Bag | McGrupp and the Watchful Hosemasters | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Dear Mrs. Reagan | Not Fade Away,19 | -1 | 8 | 3 | 3 | -1 | 3 | -1 | -1 | -1 | 11 | 3 | 3 | 3 | 6 | -1,Phish,1,0
1986-04-15,University of Vermont,"Burlington, VT",,,Phish,1,1
1986-04-25,University of Vermont,"Burlington, VT",AC/DC Bag | Dear Mrs. Reagan | Prep School Hippie | Quinn the Eskimo (The Mighty Quinn) | Slave to the Traffic Light | Makisupa Policeman | Have Mercy | All Blues | Dog Log | Possum | You Enjoy Myself | Anarchy | Camel Walk | Alumni Blues | Letter to Jimmy Page | Alumni Blues,1 | 1 | 5 | 1 | 5 | 8 | 1 | -1 | 10 | 10 | 1 | 13 | 13 | 1 | 1 | 1,Phish,1,0
1986-04-29,University of Vermont,"Burlington, VT",,,Phish,1,1
1986-05-16,Memorial Auditorium Basement,"Burlington, VT",,,Phish,1,0
1986-05-17,Goddard College,"Plainfield, VT",Halley's Comet | Back Porch Boogie Blues | Halley's Comet,-1 | 17 | -1,Phish,1,0
1986-05-24,Hunt's,"Burlington, VT",Dog Log | Halley's Comet | Back Porch Boogie Blues | Halley's Comet,3 | 0 | 0 | 0,Phish,1,0
1986-06-01,Boston Harbor,"Boston, MA",,,Phish,1,0
1986-07-18,Royall Tyler Theatre Piazza,"Burlington, VT",,,Phish,1,0
1986-09-03,Hunt's,"Burlington, VT",,,Phish,1,0
1986-09-10,Finbar's,"Burlington, VT",,,Phish,1,0
1986-09-26,Private Party,"Johnson, VT",,,Phish,1,0
1986-10-12,"Haybarn Theater, Goddard College","Plainfield, VT",Golgi Apparatus | Slave to the Traffic Light | Wilson | Halley's Comet | Possum | Sneakin' Sally Thru the Alley | Makisupa Policeman,-1 | 9 | -1 | 5 | 9 | 20 | 9,Phish,1,0
1986-10-15,Hunt's,"Burlington, VT","Alumni Blues | Makisupa Policeman | Skin It Back | Cities | I Am Hydrogen | McGrupp and the Watchful Hosemasters | AC/DC Bag | You Enjoy Myself | Lushington | Peaches en Regalia | Golgi Apparatus | Swing Low, Sweet Chariot | Camel Walk | Shaggy Dog | Mustang Sally | Fluffhead | Sneakin' Sally Thru the Alley | Wilson | Slave to the Traffic Light | Quinn the Eskimo (The Mighty Quinn) | Mike's Song | Have Mercy | Harry Hood | Roll Like a Cantaloupe | Sanity | Anarchy | Clod",10 | 0 | -1 | 25 | 32 | 12 | 10 | 10 | -1 | -1 | 0 | -1 | 10 | -1 | -1 | 41 | 0 | 0 | 0 | 10 | 16 | 10 | 12 | -1 | -1 | 10 | -1,Phish,1,0
1986-10-31,"Sculpture Room, Goddard College","Plainfield, VT","Mustang Sally | Camel Walk | Golgi Apparatus | Slave to the Traffic Light | Melt the Guns | Sneakin' Sally Thru the Alley | Halley's Comet | Back Porch Boogie Blues | Shaggy Dog | Fluffhead | Jam | AC/DC Bag | Swing Low, Sweet Chariot | Peaches en Regalia | David Bowie | Have Mercy | Harry Hood | Sanity | Skin It Back | Icculus | Alumni Blues",0 | 0 | 0 | 0 | 26 | 0 | 1 | 7 | 0 | 0 | 18 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0 | 13 | 0,Phish,1,0
1986-11-07,"Marsh Hall Dining Room, University of Vermont","Burlington, VT",,,Phish,1,0
1986-11-14,"Slade Hall, University of Vermont","Burlington, VT",,,Phish,1,0
1986-11-18,Nectar's,"Burlington, VT",,,Phish,1,0
1986-11-25,Nectar's,"Burlington, VT",,,Phish,1,0
