date,venue,location,setlist,gaps
1982-12-07,The Taft School,"Watertown, CT",Lifespace | All Along the Watchtower | Franklin's Tower | Goin' Down the Road | Hemispheres | Wild Child | Jam | Walk on the Wild Side,-1 | -1 | -1 | -1 | -1 | -1 | -1 | -1
1983-10-30,Harris-Millis Cafeteria - University of Vermont,"Burlington, VT",,
1983-12-02,Harris-Millis Cafeteria - University of Vermont,"Burlington, VT",Long Cool Woman in a Black Dress | Proud Mary | In the Midnight Hour | Squeeze Box | Roadhouse Blues | Happy Birthday to You | Scarlet Begonias | Fire on the Mountain,-1 | -1 | -1 | -1 | -1 | -1 | -1 | -1
1983-12-03,"Marsh / Austin / Tupper Dormitory, University of Vermont","Burlington, VT",,
1984-04-28,"Slade Hall, University of Vermont","Burlington, VT",,
1984-10-23,69 Grant Street,"Burlington, VT",Makisupa Policeman,-1
1984-11-03,"Slade Hall, University of Vermont","Burlington, VT",In the Midnight Hour | Wild Child | Jam | Bertha | Can't You Hear Me Knocking | St. Stephen | Can't You Hear Me Knocking | Camel Walk | Eyes of the World | Whipping Post | Drums,3 | 5 | 5 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1
1984-12-01,Nectar's,"Burlington, VT",Jam | Wild Child | Bertha | Can't You Hear Me Knocking | Camel Walk | Jam | In the Midnight Hour | Scarlet Begonias | Fire | Fire on the Mountain | Makisupa Policeman | Slave to the Traffic Light | Spanish Flea | Don't Want You No More | Cities | Drums | Skippy the Wondermouse | Fluffhead | Eyes of the World,0 | 0 | 0 | 0 | 0 | 0 | 0 | 4 | -1 | 4 | 1 | -1 | -1 | -1 | -1 | 0 | -1 | -1 | 0
1985-02-01,Doolin's,"Burlington, VT",Slave to the Traffic Light | Mike's Song | Dave's Energy Guide | You Enjoy Myself | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Prep School Hippie | Run Like an Antelope,0 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1
1985-02-15,Doolin's,"Burlington, VT",,
1985-02-22,Doolin's,"Burlington, VT",,
1985-02-25,Doolin's,"Burlington, VT",,
1985-02-25,Private Party,"Burlington, VT",,
1985-03-02,Hunt's,"Burlington, VT",,
1985-03-04,Hunt's,"Burlington, VT",Anarchy | Camel Walk | Fire Up the Ganja | Skippy the Wondermouse | In the Midnight Hour,-1 | 6 | -1 | 6 | 6
1985-03-08,Doolin's,"Burlington, VT",Sneakin' Sally Thru the Alley,-1
1985-03-16,Doolin's,"Burlington, VT",Alumni Blues | Skippy the Wondermouse | Bertha | Jam | Mike's Song,7 | 1 | 8 | 8 | 7
1985-03-29,Doolin's,"Burlington, VT",,
1985-04-06,Finbar's,"Burlington, VT",I Am Hydrogen | Don't Want You No More | Cities | Wild Child | Slave to the Traffic Light | Jam | Alumni Blues | Letter to Jimmy Page | Alumni Blues | Mike's Song | Dave's Energy Guide | Big Leg Emma | Revolution | Anarchy | I Wish | Camel Walk | Run Like an Antelope | McGrupp and the Watchful Hosemasters | Makisupa Policeman | Quinn the Eskimo (The Mighty Quinn),-1 | 10 | 10 | 10 | 9 | 1 | 1 | 9 | 1 | 1 | 9 | -1 | -1 | 3 | -1 | 3 | 9 | -1 | 10 | -1
1985-04-19,Hunt's,"Burlington, VT",,
1985-04-21,Goddard College,"Plainfield, VT",,
1985-05-01,University of Vermont,"Burlington, VT",,
1985-05-03,University of Vermont,"Burlington, VT",Slave to the Traffic Light | Mike's Song | Dave's Energy Guide | Big Leg Emma | Alumni Blues | Wild Child | Can't You Hear Me Knocking | Jam | Cities | Bring It On Home | Scarlet Begonias | Eyes of the World | Whipping Post | McGrupp and the Watchful Hosemasters | Makisupa Policeman | Run Like an Antelope | The Other One | Anarchy,6 | 6 | 6 | 6 | 6 | 6 | 17 | 6 | 6 | -1 | 17 | 17 | 18 | 6 | 6 | 6 | -1 | 6
1985-05-07,Finbar's,"Burlington, VT",,
1985-05-31,"Slade Hall, University of Vermont","Burlington, VT",Big Leg Emma,1
1985-09-26,WRUV Radio,"Burlington, VT",Dog Log | Prep School Hippie | Camel Walk | Alumni Blues | Run Like an Antelope | Dave's Energy Guide | McGrupp and the Watchful Hosemasters,-1 | 19 | 9 | 2 | 2 | 2 | 2
